City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mogadishu,SO,76.32,light rain,2.0371,45.3438,Hotel Juba
2,Great Falls,US,83.66,haze,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
5,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
8,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Nanning,CN,84.52,light rain,22.8167,108.3167,Nanning Travelling With Hostel
12,Atuona,PF,77.77,overcast clouds,-9.8,-139.0333,Villa Enata
15,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Jamestown,US,78.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Takoradi,GH,78.91,broken clouds,4.8845,-1.7554,Raybow International Hotel
29,Apam,GH,78.22,broken clouds,5.2848,-0.7371,Spanish Villa
32,Saint Anthony,US,84.34,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
33,Basco,PH,83.93,light rain,20.4487,121.9702,Nathaniel's Lodge
34,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Asau,RO,75.4,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
53,Bethel,US,75.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
54,Arroyo,ES,85.14,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
58,Cayenne,GF,86.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
62,Georgetown,MY,82.89,thunderstorm,5.4112,100.3354,Cititel Penang
64,Samarai,PG,77.36,broken clouds,-10.6167,150.6667,Nuli Sapi
66,Manzanillo,CU,87.75,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
67,Qui Nhon,VN,85.17,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
75,Vila Franca Do Campo,PT,77.41,clear sky,37.7167,-25.4333,Pestana Bahia Praia
77,Hobyo,SO,77.47,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
78,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
79,Bengkulu,ID,76.28,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
92,Silvania,BR,82.36,overcast clouds,-16.6589,-48.6081,Hotel Dom Bosco
96,Nara,JP,81.25,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
97,El Bagre,CO,83.64,overcast clouds,7.5927,-74.8086,Hotel Real
100,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
103,Lincoln,US,81.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
114,Aloleng,PH,82.06,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
117,Kindersley,CA,77.38,clear sky,51.4668,-109.1682,Kindersley Inn
119,Quzhou,CN,77.99,light rain,28.9594,118.8686,Quzhou Jiujiu Business Hotel
122,Ha Giang,VN,80.37,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
125,Faanui,PF,78.94,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Harper,LR,78.28,light rain,4.375,-7.7169,Screensaver
129,Vicosa Do Ceara,BR,85.82,broken clouds,-3.5622,-41.0922,Pousada Sitio Ipe
130,Beihai,CN,85.77,light rain,21.4833,109.1,21 Degree Hostel
136,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
142,Beachwood,US,80.65,clear sky,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
146,Peachland,CA,84.67,clear sky,49.7665,-119.7357,Wine Stopper B&B
149,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
151,Hami,CN,87.55,clear sky,42.8,93.45,Laoyutang Resort
153,Havelock,US,75.18,mist,34.8791,-76.9013,Sherwood Motel
155,Sorong,ID,77.76,overcast clouds,-0.8833,131.25,waigo splash hotel
156,Roma,US,79.86,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
161,Sao Filipe,CV,78.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
168,Kloulklubed,PW,84.07,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
173,Kokopo,PG,76.21,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
175,Kavieng,PG,81.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
176,Ailigandi,PA,84.51,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
181,Dingle,PH,78.31,light rain,10.9995,122.6711,SEGAYA PROPERTY
182,Banswada,IN,77.74,overcast clouds,18.3833,77.8833,Bc Boys Hostel
184,Kalmunai,LK,82.51,overcast clouds,7.4167,81.8167,VS Villa
186,Ucluelet,CA,77.04,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
187,Tevaitoa,PF,78.53,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
190,Mandera,KE,87.69,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
199,Tual,ID,80.78,light rain,-5.6667,132.75,Grand Vilia Hotel
