City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Huilong,31.8111,121.655,80.98,93,71,7.16,CN,2021-07-29 19:11:25
1,Thompson,55.7435,-97.8558,74.77,33,17,7.18,CA,2021-07-29 19:10:27
2,Faya,18.3851,42.4509,64.92,68,40,4.38,SA,2021-07-29 19:10:48
3,Terrace Bay,48.7834,-87.1,64.76,49,49,12.86,CA,2021-07-29 19:11:25
4,Mount Gambier,-37.8333,140.7667,50.95,53,100,15.46,AU,2021-07-29 19:11:25
5,Ushuaia,-54.8,-68.3,47.86,37,20,20.71,AR,2021-07-29 19:09:15
6,Santona,43.4439,-3.4576,70.11,81,56,2.71,ES,2021-07-29 19:11:25
7,Kloulklubed,7.0419,134.2556,77.5,74,100,4.97,PW,2021-07-29 19:11:26
8,Lebu,-37.6167,-73.65,56.05,61,0,4.23,CL,2021-07-29 19:09:39
9,Mataura,-46.1927,168.8643,40.48,94,87,3.89,NZ,2021-07-29 19:09:10
10,Matagami,49.7502,-77.6328,55.38,92,100,11.23,CA,2021-07-29 19:10:00
11,Butaritari,3.0707,172.7902,82.62,75,7,9.62,KI,2021-07-29 19:11:26
12,Najran,17.4924,44.1277,85.3,47,41,7.23,SA,2021-07-29 19:09:23
13,Champerico,14.3,-91.9167,88.75,63,85,3.42,GT,2021-07-29 19:11:26
14,Port Keats,-14.25,129.55,72.37,90,6,2.15,AU,2021-07-29 19:09:37
15,Tommot,58.9564,126.2925,47.97,86,5,0.58,RU,2021-07-29 19:11:27
16,Kardailovo,51.5386,53.9042,75.27,36,99,4.97,RU,2021-07-29 19:11:27
17,Fort Nelson,58.8053,-122.7002,76.51,28,9,7.52,CA,2021-07-29 19:10:17
18,Bethel,41.3712,-73.414,76.5,79,75,1.01,US,2021-07-29 19:09:16
19,Shiyan,32.6475,110.7781,74.89,79,0,1.99,CN,2021-07-29 19:11:27
20,Thurso,58.5927,-3.5259,57.45,95,100,12.66,GB,2021-07-29 19:11:27
21,Hermanus,-34.4187,19.2345,53.91,83,47,7.85,ZA,2021-07-29 19:09:14
22,Makakilo City,21.3469,-158.0858,80.92,70,75,5.75,US,2021-07-29 19:11:28
23,Yulara,-25.2406,130.9889,60.64,55,0,8.05,AU,2021-07-29 19:11:28
24,Jamestown,42.097,-79.2353,79.07,77,75,11.99,US,2021-07-29 19:11:28
25,Yellowknife,62.456,-114.3525,68.32,55,76,5.99,CA,2021-07-29 19:11:29
26,Albany,42.6001,-73.9662,71.55,85,100,1.01,US,2021-07-29 19:11:27
27,Rikitea,-23.1203,-134.9692,72.19,78,50,9.28,PF,2021-07-29 19:11:29
28,Luderitz,-26.6481,15.1594,61.86,42,0,15.21,NA,2021-07-29 19:09:30
